Strike,CE OI Open,PE OI Open
21500,0,2270580
22000,5005,5618340
22300,0,785655
22450,0,113490
22500,16185,4013295
22600,0,980265
22650,0,332540
22700,0,1052220
22800,13065,2487355
22850,0,783900
22900,42185,2424110
22950,195,935545
23000,187330,6750185
23050,585,1030770
23100,33735,3156790
23150,2340,838890
23200,51350,3228225
23250,4225,1361555
23300,73580,5733260
23350,24050,1592955
23400,133575,6723665
23450,18590,1436955
23500,445185,6231745
23550,26520,1468935
23600,232830,4182620
23650,100490,1907295
23700,533390,3966300
23750,309530,2881775
23800,1525030,5933135
23850,826540,3588000
23900,4289090,10178415
23950,3397160,5401110
24000,11594830,10437895
24050,3112070,1544855
24100,6510140,2617030
24150,2709655,477490
24200,6463470,1388595
24250,2013375,195130
24300,5204160,744835
24350,1493440,71435
24400,4871880,198835
24450,2005835,22750
24500,7307625,869180
24550,1361425,17940
24600,4551885,131105
24650,1249235,2730
24700,4708340,29575
24750,1273025,1235
24800,3792230,37505
24850,1056315,1625
24900,3526445,12350
24950,620230,0
25000,7083895,419120
25050,578305,1430
25100,2494310,0
25150,346710,0
25200,2222545,9165
25300,1377740,0
25350,116805,0
25400,865865,0
25450,446615,0
25500,5137600,113165
25550,135395,0
25600,1175915,0
25650,255840,0
25700,1301235,0
25800,1906385,2990
25850,133835,0
26000,3584880,80210
26200,356850,0
26300,482170,0
