Strike,CE OI Open,PE OI Open,OI PCR Open
23600,1021085,6615245,6.48
23650,108225,1728350,15.97
23700,552110,4523675,8.19
23750,188305,2070770,11.0
23800,2279160,7322705,3.21
23850,451165,3207425,7.11
23900,2074800,7093645,3.42
23950,893295,3269500,3.66
24000,8630020,12543680,1.45
24050,2292095,2283840,1.0
24100,7825935,6106490,0.78
24150,3543605,1934465,0.55
24200,10293140,4859465,0.47
24250,4271280,794105,0.19
24300,8620300,1452945,0.17
24350,3324750,303680,0.09
24400,6383780,522080,0.08
24450,2517060,158405,0.06
24500,11819600,1498250,0.13
24550,2700035,59735,0.02
24600,4769765,293085,0.06
