Strike,CE_LTP,CE OI,CE Volume,CE Price Change,CE Price % Change,PE_LTP,PE OI,PE Volume,PE Price Change,PE Price % Change,CE_IV,PE_IV,CE Delta,CE Gamma,CE Theta,CE Decay,CE Vega,PE Delta,PE Gamma,PE Theta,PE Decay,PE Vega,Expiry,Spot,OI PCR,PE/CE Vol Ratio,CE OI Open,PE OI Open,CE OI Change,PE OI Change,CE OI Change %,PE OI Change %,OI PCR Change,Distance,Status,Data Time
23250,575.8,15210,190255,-58.35,-9.2,8.15,2384850,41338570,0.3,3.82,18.94,18.94,0.8753,0.000449,-12.45,-8.09,4.9728,-0.1247,0.000449,-12.45,-6.06,4.9728,28Jul2026,23767.45,156.79,217.28,15210,2384850,0,0,0.0,0.0,0,517.4500000000007,ITM CE / OTM PE,20:44:23
23300,529.15,100815,1642355,-53.25,-9.14,9.9,7827625,89786840,0.4,4.21,18.2,18.2,0.8603,0.000505,-12.94,-8.35,5.3768,-0.1397,0.000505,-12.94,-6.32,5.3768,28Jul2026,23767.45,77.64,54.67,100815,7827625,0,0,0.0,0.0,0,467.4500000000007,ITM CE / OTM PE,20:44:23
23350,481.0,68575,780390,-55.3,-10.31,12.5,2951000,52696605,0.75,6.38,17.37,17.37,0.844,0.000569,-13.29,-8.55,5.7886,-0.156,0.000569,-13.29,-6.51,5.7886,28Jul2026,23767.45,43.03,67.53,68575,2951000,0,0,0.0,0.0,0,417.4500000000007,ITM CE / OTM PE,20:44:23
23400,434.5,136890,4942665,-56.2,-11.45,14.9,7238140,120931785,0.15,1.02,16.52,16.52,0.8251,0.000645,-13.62,-8.73,6.2348,-0.1749,0.000645,-13.62,-6.69,6.2348,28Jul2026,23767.45,52.88,24.47,136890,7238140,0,0,0.0,0.0,0,367.4500000000007,ITM CE / OTM PE,20:44:23
23450,387.2,85215,3150680,-55.7,-12.58,18.9,2728830,75584990,-0.15,-0.79,15.68,15.68,0.8025,0.000733,-13.94,-8.91,6.7228,-0.1975,0.000733,-13.94,-6.86,6.7228,28Jul2026,23767.45,32.02,23.99,85215,2728830,0,0,0.0,0.0,0,317.4500000000007,ITM CE / OTM PE,20:44:23
23500,345.0,972075,33894445,-52.6,-13.23,24.8,11012300,231437440,0.95,3.98,15.18,15.18,0.7703,0.000826,-14.73,-9.33,7.3399,-0.2297,0.000826,-14.73,-7.28,7.3399,28Jul2026,23767.45,11.33,6.83,972075,11012300,0,0,0.0,0.0,0,267.4500000000007,ITM CE / OTM PE,20:44:23
23550,299.85,227695,18863715,-53.3,-15.09,31.15,2848560,115803675,0.5,1.63,14.35,14.35,0.7378,0.000938,-14.95,-9.45,7.8812,-0.2622,0.000938,-14.95,-7.39,7.8812,28Jul2026,23767.45,12.51,6.14,227695,2848560,0,0,0.0,0.0,0,217.45000000000073,ITM CE / OTM PE,20:44:23
23600,258.65,1051245,119570620,-51.9,-16.71,39.2,8417175,301386995,0.7,1.82,13.68,13.68,0.6967,0.001056,-15.28,-9.62,8.4532,-0.3033,0.001056,-15.28,-7.56,8.4532,28Jul2026,23767.45,8.01,2.52,1051245,8417175,0,0,0.0,0.0,0,167.45000000000073,ITM CE / OTM PE,20:44:23
23650,218.5,1216345,135203120,-53.2,-19.58,50.3,4376255,229312135,1.35,2.76,13.02,13.02,0.6482,0.001178,-15.45,-9.7,8.9775,-0.3518,0.001178,-15.45,-7.63,8.9775,28Jul2026,23767.45,3.6,1.7,1216345,4376255,0,0,0.0,0.0,0,117.45000000000073,ITM CE / OTM PE,20:44:23
23700,182.9,4190095,274989260,-50.15,-21.52,64.4,9351225,367708965,3.05,4.97,9.79,9.79,0.6142,0.001616,-11.97,-7.77,9.2531,-0.3858,0.001616,-11.97,-5.7,9.2531,28Jul2026,23767.45,2.23,1.34,4190095,9351225,0,0,0.0,0.0,0,67.45000000000073,ITM CE / OTM PE,20:44:23
