Strike,CE_LTP,CE OI,CE Volume,CE Price Change,CE Price % Change,PE_LTP,PE OI,PE Volume,PE Price Change,PE Price % Change,CE Delta,CE Gamma,CE Theta,CE Vega,PE Delta,PE Gamma,PE Theta,PE Vega,Expiry,Spot
23600,428.5,745030,0,-150.7,-26.0186,9.35,5141630,0,1.6,20.6452,0.993,0.0001,-4.86,0.35,-0.007,0.0001,-0.98,0.35,23Jun2026,24089
23650,381.3,84760,0,-147.25,-27.8592,12.3,2414880,0,2.8,29.4737,0.986,0.00017,-5.64,0.63,-0.014,0.00017,-1.75,0.63,23Jun2026,24089
23700,336.95,415805,0,-149.2,-30.6901,16.25,5230615,0,4.75,41.3043,0.975,0.00029,-6.82,1.05,-0.025,0.00029,-2.92,1.05,23Jun2026,24089
23750,291.8,147810,0,-136.85,-31.9258,22.3,2558205,0,7.8,53.7931,0.956,0.00045,-8.49,1.65,-0.044,0.00045,-4.58,1.65,23Jun2026,24089
23800,253.95,782860,0,-129.4,-33.7551,30.05,5091450,0,11.85,65.1099,0.928,0.00067,-10.66,2.45,-0.072,0.00067,-6.75,2.45,23Jun2026,24089
23850,211.95,465400,0,-125.95,-37.2743,39.95,2958735,0,16.25,68.5654,0.888,0.00093,-13.26,3.4,-0.112,0.00093,-9.34,3.4,23Jun2026,24089
23900,176.0,2118350,0,-119.6,-40.4601,53.2,5734625,0,22.9,75.5776,0.834,0.00122,-16.06,4.45,-0.166,0.00122,-12.14,4.45,23Jun2026,24089
23950,144.4,2410720,0,-109.55,-43.1384,68.95,4073550,0,30.35,78.6269,0.765,0.0015,-18.75,5.48,-0.235,0.0015,-14.82,5.48,23Jun2026,24089
24000,118.0,9056385,0,-99.15,-45.6597,85.95,9431760,0,36.25,72.9376,0.684,0.00174,-20.93,6.35,-0.316,0.00174,-16.99,6.35,23Jun2026,24089
24050,93.9,4001010,0,-86.9,-48.0642,107.7,2092740,0,43.1,66.7183,0.592,0.00189,-22.23,6.92,-0.408,0.00189,-18.28,6.92,23Jun2026,24089
24100,71.45,6707090,0,-78.2,-52.2553,139.1,3249220,0,56.75,68.9132,0.496,0.00195,-22.4,7.11,-0.504,0.00195,-18.44,7.11,23Jun2026,24089
24150,54.2,3523260,0,-69.1,-56.0422,171.4,734305,0,68.7,66.8939,0.4,0.00188,-21.37,6.89,-0.6,0.00188,-17.41,6.89,23Jun2026,24089
24200,40.45,8178625,0,-60.45,-59.9108,207.55,1571570,0,81.55,64.7222,0.31,0.00172,-19.29,6.29,-0.69,0.00172,-15.32,6.29,23Jun2026,24089
24250,29.75,3806530,0,-49.55,-62.4842,250.2,178750,0,94.85,61.0557,0.23,0.00148,-16.46,5.41,-0.77,0.00148,-12.48,5.41,23Jun2026,24089
24300,22.2,7005180,0,-39.55,-64.0486,289.75,567125,0,102.9,55.0709,0.163,0.0012,-13.28,4.39,-0.837,0.0012,-9.28,4.39,23Jun2026,24089
24350,16.5,3840200,0,-30.9,-65.1899,337.95,185055,0,116.3,52.4701,0.111,0.00092,-10.12,3.37,-0.889,0.00092,-6.12,3.37,23Jun2026,24089
24400,12.7,5286255,0,-23.45,-64.8686,379.55,198705,0,117.9,45.0602,0.072,0.00067,-7.29,2.44,-0.928,0.00067,-3.28,2.44,23Jun2026,24089
24450,9.75,2527590,0,-17.55,-64.2857,434.5,35555,0,131.1,43.2103,0.044,0.00046,-4.96,1.66,-0.956,0.00046,-0.94,1.66,23Jun2026,24089
24500,7.9,10075780,0,-13.35,-62.8235,473.05,413660,0,125.25,36.0121,0.026,0.00029,-3.19,1.07,-0.974,0.00029,0.84,1.07,23Jun2026,24089
24550,6.25,3045640,0,-9.5,-60.3175,533.85,21515,0,145.4,37.4308,0.014,0.00018,-1.94,0.66,-0.986,0.00018,2.09,0.66,23Jun2026,24089
24600,5.1,4998500,0,-6.8,-57.1429,587.8,51935,0,151.65,34.7701,0.008,0.0001,-1.12,0.38,-0.992,0.0001,2.93,0.38,23Jun2026,24089
