Date,Time,Strike,CE OI Open,PE OI Open
2026-07-19,22:01:49,23850,97630,3007745
2026-07-19,22:01:49,23900,341185,5169970
2026-07-19,22:01:49,23950,257660,3508180
2026-07-19,22:01:49,24000,2040545,12583220
2026-07-19,22:01:49,24050,809380,4768010
2026-07-19,22:01:49,24100,2905825,10241270
2026-07-19,22:01:49,24150,2030080,8201765
2026-07-19,22:01:49,24200,5064800,12460435
2026-07-19,22:01:49,24250,2848950,5733650
2026-07-19,22:01:49,24300,6114355,6751225
2026-07-19,22:01:49,24350,3360370,2126020
2026-07-19,22:01:49,24400,5530395,1610115
2026-07-19,22:01:49,24450,2501330,430690
2026-07-19,22:01:49,24500,6620055,1457040
2026-07-19,22:01:49,24550,2617680,187330
2026-07-19,22:01:49,24600,6817850,277355
2026-07-19,22:01:49,24650,3258125,53495
2026-07-19,22:01:49,24700,8296990,112905
2026-07-19,22:01:49,24750,3348540,17940
2026-07-19,22:01:49,24800,7933250,79235
2026-07-19,22:01:49,24850,1878565,6110
