Strike,CE_LTP,CE OI,CE Volume,CE Price Change,CE Price % Change,PE_LTP,PE OI,PE Volume,PE Price Change,PE Price % Change,CE_IV,PE_IV,CE Delta,CE Gamma,CE Theta,CE Decay,CE Vega,PE Delta,PE Gamma,PE Theta,PE Decay,PE Vega,Expiry,Spot,OI PCR,PE/CE Vol Ratio,CE OI Open,PE OI Open,CE OI Change,PE OI Change,CE OI Change %,PE OI Change %,OI PCR Change,Distance,Status
23200,539.3,79560,369655,-142.5,-20.9,12.05,6948435,40160705,5.5,83.97,16.29,16.29,0.896,0.000439,-8.98,-10.33,4.5563,-0.104,0.000439,-8.98,-6.96,4.5563,28Jul2026,23708.35,87.34,108.64,79560.0,6948435.0,0.0,0.0,0.0,0.0,0.0,508.34999999999854,ITM CE / OTM PE
23250,492.15,23400,129090,-142.0,-22.39,14.75,2560285,22840610,6.9,87.9,15.7,15.7,0.8803,0.000504,-9.57,-10.87,5.0377,-0.1197,0.000504,-9.57,-7.49,5.0377,28Jul2026,23708.35,109.41,176.94,23400.0,2560285.0,0.0,0.0,0.0,0.0,0.0,458.34999999999854,ITM CE / OTM PE
23300,444.9,146380,1225770,-137.5,-23.61,18.35,7632950,49741055,8.85,93.16,15.09,15.09,0.8621,0.000579,-10.15,-11.41,5.5598,-0.1379,0.000579,-10.15,-8.03,5.5598,28Jul2026,23708.35,52.14,40.58,146380.0,7632950.0,0.0,0.0,0.0,0.0,0.0,408.34999999999854,ITM CE / OTM PE
23350,399.35,91780,549640,-136.95,-25.54,22.9,3326960,29437005,11.15,94.89,14.58,14.58,0.8387,0.000665,-10.88,-12.09,6.171,-0.1613,0.000665,-10.88,-8.7,6.171,28Jul2026,23708.35,36.25,53.56,91780.0,3326960.0,0.0,0.0,0.0,0.0,0.0,358.34999999999854,ITM CE / OTM PE
23400,355.3,289185,3638895,-135.4,-27.59,28.8,9076275,69605965,14.05,95.25,14.13,14.13,0.81,0.000761,-11.7,-12.86,6.8468,-0.19,0.000761,-11.7,-9.46,6.8468,28Jul2026,23708.35,31.39,19.13,93340.0,5529225.0,195845.0,3547050.0,209.82,64.15,18.11,308.34999999999854,ITM CE / OTM PE
23450,311.35,186355,2371005,-131.55,-29.7,36.6,2910765,40930630,17.55,92.13,13.65,13.65,0.7768,0.000867,-12.44,-13.56,7.5329,-0.2232,0.000867,-12.44,-10.15,7.5329,28Jul2026,23708.35,15.62,17.26,39520.0,1363830.0,146835.0,1546935.0,371.55,113.43,10.54,258.34999999999854,ITM CE / OTM PE
23500,270.85,2100475,23958545,-126.75,-31.88,46.15,11911380,126115535,22.3,93.5,13.3,13.3,0.7359,0.000974,-13.27,-14.34,8.25,-0.2641,0.000974,-13.27,-10.93,8.25,28Jul2026,23708.35,5.67,5.26,823810.0,9037080.0,1276665.0,2874300.0,154.97,31.81,2.25,208.34999999999854,ITM CE / OTM PE
23550,232.25,809640,14356095,-120.9,-34.23,58.0,3824925,66826175,27.35,89.23,12.96,12.96,0.6889,0.001081,-13.97,-15.01,8.9149,-0.3111,0.001081,-13.97,-11.59,8.9149,28Jul2026,23708.35,4.72,4.65,53105.0,1378715.0,756535.0,2446210.0,1424.6,177.43,3.23,158.34999999999854,ITM CE / OTM PE
23600,197.1,4592640,88665590,-113.45,-36.53,72.65,12601225,175171880,34.15,88.7,12.7,12.7,0.6352,0.001172,-14.57,-15.55,9.4826,-0.3648,0.001172,-14.57,-12.13,9.4826,28Jul2026,23708.35,2.74,1.98,373490.0,5417295.0,4219150.0,7183930.0,1129.66,132.61,1.7,108.34999999999854,ITM CE / OTM PE
23650,165.0,5172765,102699350,-106.7,-39.27,90.4,7819045,141300510,41.45,84.68,11.66,11.66,0.5811,0.001327,-13.91,-14.9,9.8572,-0.4189,0.001327,-13.91,-11.47,9.8572,28Jul2026,23708.35,1.51,1.38,137735.0,1387230.0,5035030.0,6431815.0,3655.59,463.64,1.28,58.349999999998545,ITM CE / OTM PE
23700,135.9,11697530,175084195,-97.15,-41.69,111.05,13195065,180645530,49.7,81.01,11.44,11.44,0.514,0.001381,-13.92,-14.83,10.0597,-0.486,0.001381,-13.92,-11.39,10.0597,28Jul2026,23708.35,1.13,1.03,801905.0,5286515.0,10895625.0,7908550.0,1358.72,149.6,0.73,8.349999999998545,ATM
