Time,Spot,Overall OI PCR,Overall Vol PCR,Max Pain
2026-06-17 14:03:21.230743,24086.0,0.81,0.81,24000
2026-06-17 14:33:48.456180,24086.0,0.88,0.83,24000
2026-06-17 15:09:28.827120,24086.0,0.92,0.84,24000
2026-06-17 15:18:06.951117,24086.0,0.88,0.83,24000
2026-06-17 15:52:13.075325,24086.0,0.88,0.83,24000
2026-06-17 16:07:44.781407,24086.0,0.88,0.83,24000
2026-06-17 16:32:15.724556,24086.0,0.88,0.83,24000
2026-06-18 05:13:34.398700,23117.0,2.92,2.39,24000
2026-06-18 05:18:07.132372,23098.0,2.84,2.38,24000
2026-06-18 05:21:56.093480,23102.0,2.82,2.38,24000
2026-06-18 05:40:45.746620,23078.0,2.77,2.38,24000
2026-06-18 05:48:04.620579,23076.0,2.59,2.41,24000
2026-06-18 06:14:37.086109,23077.0,2.39,2.44,24000
2026-06-18 06:49:30.366357,23086.0,2.73,2.34,24000
2026-06-18 07:26:10.377381,24128.0,0.77,0.87,24050
2026-06-18 07:48:12.454236,24128.0,0.82,0.91,24050
2026-06-18 07:51:34.296797,24112.0,0.84,0.93,24050
2026-06-18 08:30:27.010792,23117.0,3.67,2.28,24000
2026-06-18 08:38:37.406044,24116.0,0.83,0.93,24050
2026-06-18 09:01:19.049849,24108.0,0.79,0.94,24050
2026-06-18 16:30:31.709786,24178.0,0.96,0.87,24100
2026-06-18 16:32:06.092614,24178.0,0.97,0.88,24100
2026-06-18 16:56:35.751350,24178.0,0.96,0.87,24100
2026-06-18 16:57:44.874308,23000.0,8.28,5.86,24000
2026-06-18 16:58:53.712939,23000.0,8.28,5.86,24000
2026-06-18 17:01:50.072550,24178.0,0.96,0.87,24100
2026-06-18 17:02:58.270020,23000.0,8.15,5.78,24000
2026-06-18 17:04:07.016569,23000.0,8.14,5.75,24000
2026-06-18 17:05:14.038784,23000.0,8.28,5.86,24000
2026-06-18 17:06:21.527626,23000.0,8.28,5.86,24000
2026-06-18 17:07:29.627127,23000.0,8.28,5.86,24000
2026-06-18 17:08:38.281011,23000.0,8.28,5.86,24000
2026-06-18 17:09:45.736349,23000.0,8.28,5.86,24000
2026-06-18 17:10:53.726462,23000.0,8.28,5.86,24000
2026-06-18 17:12:01.022689,23000.0,8.28,5.86,24000
2026-06-18 17:13:09.525649,23000.0,8.28,5.86,24000
2026-06-18 17:14:18.316493,23000.0,8.28,5.86,24000
2026-06-18 17:15:25.393739,23000.0,8.28,5.86,24000
2026-06-18 17:16:33.914948,23000.0,8.28,5.86,24000
2026-06-18 17:17:42.584730,23000.0,8.28,5.86,24000
